movement_id,startX,startY,endX,endY,deltaX,deltaY,distance,duration,velocity
58,792,468,792,468,0,0,0.0,0.0,0
1,178,24,367,134,189,110,218.68,0.0,0
2,367,134,418,165,51,31,59.682,0.0,0
3,418,165,465,191,47,26,53.712,0.0,0
4,465,191,717,313,252,122,279.979,0.0,0
5,717,313,731,318,14,5,14.866,0.0,0
6,731,318,740,322,9,4,9.849,0.0,0
7,740,322,748,325,8,3,8.544,0.0,0
8,748,325,749,326,1,1,1.414,0.0,0
9,749,326,750,326,1,0,1.0,0.0,0
10,750,326,752,326,2,0,2.0,0.0,0
11,752,326,754,329,2,3,3.606,0.0,0
12,754,329,756,332,2,3,3.606,0.0,0
13,756,332,762,339,6,7,9.22,0.0,0
14,762,339,765,348,3,9,9.487,0.0,0
15,765,348,768,351,3,3,4.243,0.0,0
16,768,351,769,356,1,5,5.099,0.0,0
17,769,356,772,363,3,7,7.616,0.0,0
18,772,363,777,369,5,6,7.81,0.0,0
19,777,369,780,375,3,6,6.708,0.0,0
20,780,375,783,380,3,5,5.831,0.0,0
21,783,380,785,383,2,3,3.606,0.0,0
22,785,383,787,388,2,5,5.385,0.0,0
23,787,388,788,388,1,0,1.0,0.0,0
24,788,388,787,387,-1,-1,1.414,0.0,0
25,787,387,787,385,0,-2,2.0,0.0,0
26,787,385,786,383,-1,-2,2.236,0.0,0
27,786,383,785,380,-1,-3,3.162,0.0,0
28,785,380,785,379,0,-1,1.0,0.0,0
29,785,379,784,379,-1,0,1.0,0.0,0
30,784,379,784,378,0,-1,1.0,0.0,0
31,784,378,784,378,0,0,0.0,0.0,0
32,784,378,784,378,0,0,0.0,0.0,0
33,784,378,782,376,-2,-2,2.828,0.0,0
34,782,376,781,376,-1,0,1.0,0.0,0
35,781,376,780,376,-1,0,1.0,0.0,0
36,780,376,779,376,-1,0,1.0,0.0,0
37,779,376,779,377,0,1,1.0,0.0,0
38,779,377,779,378,0,1,1.0,0.0,0
39,779,378,779,380,0,2,2.0,0.0,0
40,779,380,779,387,0,7,7.0,0.0,0
41,779,387,781,396,2,9,9.22,0.0,0
42,781,396,781,397,0,1,1.0,0.0,0
43,781,397,781,400,0,3,3.0,0.0,0
44,781,400,782,401,1,1,1.414,0.0,0
45,782,401,783,403,1,2,2.236,0.0,0
46,783,403,783,404,0,1,1.0,0.0,0
47,783,404,783,406,0,2,2.0,0.0,0
48,783,406,784,414,1,8,8.062,0.0,0
49,784,414,784,420,0,6,6.0,0.0,0
50,784,420,785,422,1,2,2.236,0.0,0
51,785,422,785,423,0,1,1.0,0.0,0
52,785,423,786,428,1,5,5.099,0.0,0
53,786,428,786,434,0,6,6.0,0.0,0
54,786,434,786,440,0,6,6.0,0.0,0
55,786,440,787,448,1,8,8.062,0.0,0
56,787,448,788,452,1,4,4.123,0.0,0
57,788,452,788,453,0,1,1.0,0.0,0
58,788,453,789,455,1,2,2.236,0.0,0
59,789,455,790,455,1,0,1.0,0.0,0
60,790,455,791,458,1,3,3.162,0.0,0
61,791,458,791,459,0,1,1.0,0.0,0
62,791,459,791,460,0,1,1.0,0.0,0
63,791,460,792,460,1,0,1.0,0.0,0
64,792,460,792,461,0,1,1.0,0.0,0
1,253,3,342,40,89,37,96.385,0.0,0
2,342,40,353,45,11,5,12.083,0.0,0
3,353,45,375,56,22,11,24.597,0.0,0
4,375,56,395,63,20,7,21.19,0.0,0
5,395,63,410,69,15,6,16.155,0.0,0
6,410,69,423,77,13,8,15.264,0.0,0
7,423,77,437,88,14,11,17.804,0.0,0
8,437,88,458,102,21,14,25.239,0.0,0
9,458,102,485,122,27,20,33.601,0.0,0
10,485,122,527,148,42,26,49.396,0.0,0
11,527,148,561,169,34,21,39.962,0.0,0
12,561,169,586,183,25,14,28.653,0.0,0
13,586,183,607,191,21,8,22.472,0.0,0
14,607,191,636,205,29,14,32.202,0.0,0
15,636,205,656,217,20,12,23.324,0.0,0
16,656,217,673,227,17,10,19.723,0.0,0
17,673,227,685,235,12,8,14.422,0.0,0
18,685,235,696,241,11,6,12.53,0.0,0
19,696,241,707,251,11,10,14.866,0.0,0
20,707,251,724,265,17,14,22.023,0.0,0
21,724,265,739,280,15,15,21.213,0.0,0
22,739,280,750,291,11,11,15.556,0.0,0
23,750,291,755,296,5,5,7.071,0.0,0
24,755,296,760,299,5,3,5.831,0.0,0
25,760,299,762,303,2,4,4.472,0.0,0
26,762,303,767,309,5,6,7.81,0.0,0
27,767,309,768,311,1,2,2.236,0.0,0
28,768,311,769,313,1,2,2.236,0.0,0
29,769,313,770,316,1,3,3.162,0.0,0
30,770,316,771,323,1,7,7.071,0.0,0
31,771,323,775,331,4,8,8.944,0.0,0
32,775,331,778,341,3,10,10.44,0.0,0
33,778,341,781,345,3,4,5.0,0.0,0
34,781,345,782,348,1,3,3.162,0.0,0
35,782,348,784,351,2,3,3.606,0.0,0
36,784,351,785,353,1,2,2.236,0.0,0
37,785,353,785,356,0,3,3.0,0.0,0
38,785,356,786,356,1,0,1.0,0.0,0
39,786,356,786,356,0,0,0.0,0.0,0
40,786,356,786,358,0,2,2.0,0.0,0
41,786,358,786,359,0,1,1.0,0.0,0
42,786,359,787,362,1,3,3.162,0.0,0
43,787,362,788,368,1,6,6.083,0.0,0
44,788,368,790,372,2,4,4.472,0.0,0
45,790,372,790,373,0,1,1.0,0.0,0
46,790,373,790,373,0,0,0.0,0.0,0
47,790,373,790,373,0,0,0.0,0.0,0
48,790,373,789,372,-1,-1,1.414,0.0,0
49,789,372,788,372,-1,0,1.0,0.0,0
50,788,372,784,370,-4,-2,4.472,0.0,0
51,784,370,766,363,-18,-7,19.313,0.0,0
52,766,363,752,357,-14,-6,15.232,0.0,0
53,752,357,748,356,-4,-1,4.123,0.001,4106.758
54,748,356,748,357,0,1,1.0,0.0,0
55,748,357,749,360,1,3,3.162,0.0,0
56,749,360,750,361,1,1,1.414,0.0,0
57,750,361,752,365,2,4,4.472,0.0,0
58,752,365,754,370,2,5,5.385,0.0,0
59,754,370,754,372,0,2,2.0,0.0,0
60,754,372,754,377,0,5,5.0,0.0,0
61,754,377,754,380,0,3,3.0,0.0,0
62,754,380,754,381,0,1,1.0,0.0,0
63,754,381,754,382,0,1,1.0,0.0,0
64,754,382,754,383,0,1,1.0,0.0,0
65,754,383,754,384,0,1,1.0,0.0,0
66,754,384,754,386,0,2,2.0,0.0,0
67,754,386,754,392,0,6,6.0,0.0,0
68,754,392,754,402,0,10,10.0,0.0,0
69,754,402,755,406,1,4,4.123,0.0,0
70,755,406,756,407,1,1,1.414,0.0,0
71,756,407,757,408,1,1,1.414,0.0,0
72,757,408,757,412,0,4,4.0,0.0,0
73,757,412,757,422,0,10,10.0,0.0,0
74,757,422,757,436,0,14,14.0,0.0,0
75,757,436,759,452,2,16,16.125,0.0,0
76,759,452,764,468,5,16,16.763,0.0,0
77,764,468,768,476,4,8,8.944,0.0,0
78,768,476,768,477,0,1,1.0,0.0,0
79,768,477,768,479,0,2,2.0,0.0,0
80,768,479,768,480,0,1,1.0,0.0,0
81,768,480,768,482,0,2,2.0,0.0,0
1,163,0,298,84,135,84,159.0,0.0,0
2,298,84,333,106,35,22,41.34,0.0,0
3,333,106,370,132,37,26,45.222,0.0,0
4,370,132,623,353,253,221,335.932,0.0,0
5,623,353,650,371,27,18,32.45,0.0,0
6,650,371,674,384,24,13,27.295,0.0,0
7,674,384,726,413,52,29,59.54,0.0,0
8,726,413,745,423,19,10,21.471,0.0,0
9,745,423,752,426,7,3,7.616,0.0,0
10,752,426,754,427,2,1,2.236,0.0,0
11,754,427,754,427,0,0,0.0,0.0,0
12,754,427,757,427,3,0,3.0,0.0,0
13,757,427,760,426,3,-1,3.162,0.0,0
14,760,426,762,424,2,-2,2.828,0.0,0
15,762,424,767,421,5,-3,5.831,0.0,0
16,767,421,769,417,2,-4,4.472,0.0,0
17,769,417,770,412,1,-5,5.099,0.0,0
18,770,412,771,407,1,-5,5.099,0.0,0
19,771,407,772,402,1,-5,5.099,0.0,0
20,772,402,773,396,1,-6,6.083,0.0,0
21,773,396,773,392,0,-4,4.0,0.0,0
22,773,392,773,389,0,-3,3.0,0.0,0
23,773,389,773,387,0,-2,2.0,0.0,0
24,773,387,773,386,0,-1,1.0,0.0,0
25,773,386,773,385,0,-1,1.0,0.0,0
26,773,385,773,382,0,-3,3.0,0.0,0
27,773,382,772,378,-1,-4,4.123,0.0,0
28,772,378,772,377,0,-1,1.0,0.0,0
29,772,377,772,376,0,-1,1.0,0.0,0
30,772,376,772,375,0,-1,1.0,0.0,0
31,772,375,772,375,0,0,0.0,0.0,0
32,772,375,772,377,0,2,2.0,0.0,0
33,772,377,771,383,-1,6,6.083,0.0,0
34,771,383,769,397,-2,14,14.142,0.0,0
35,769,397,767,411,-2,14,14.142,0.0,0
36,767,411,767,419,0,8,8.0,0.0,0
